personid,race,gender,drivercity,driverstate,dlstate,policeid,vehicleid,age,,,,,,,,,,,,,,,,,,,,,
p1443,BLACK,M,ABINGDON,MD,MD,1126,v1242,41,,,,,,,,,,,,,,,,,,,,,
p1445,HISPANIC,M,ADELPHI,MD,XX,1130,v2679,60,,,,,,,,,,,,,,,,,,,,,
p1452,BLACK,M,ABINGDON,MD,MD,1114,v1243,44,,,,,,,,,,,,,,,,,,,,,
p1457,BLACK,M,ADELPHI,MD,MD,1102,v2680,20,,,,,,,,,,,,,,,,,,,,,
p1459,WHITE,F,ADAMSTOWN,MD,MD,1154,v3369,52,,,,,,,,,,,,,,,,,,,,,
p1461,HISPANIC,M,ADELPHI,MD,MD,1120,v1847,28,,,,,,,,,,,,,,,,,,,,,
p1472,WHITE,M,ABERDEEN,MD,MD,1118,v1848,47,,,,,,,,,,,,,,,,,,,,,
p1476,WHITE,M,ABBOTTSTOWN,PA,PA,1120,v1547,20,,,,,,,,,,,,,,,,,,,,,
p1488,BLACK,M,ABERDEEN,MD,MD,1150,v1849,41,,,,,,,,,,,,,,,,,,,,,
p1495,BLACK,M,ABINGDON,MD,MD,1156,v3220,65,,,,,,,,,,,,,,,,,,,,,
p1502,BLACK,M,ADELPHI,MD,MD,1122,v3001,64,,,,,,,,,,,,,,,,,,,,,
p1509,BLACK,M,ABERDEEN,MD,MD,1158,v1850,36,,,,,,,,,,,,,,,,,,,,,
p1525,WHITE,F,ABBOTTSTOWN,PA,PA,1118,v1548,22,,,,,,,,,,,,,,,,,,,,,
p1527,ASIAN,M,ABERDEEN,MD,MD,1150,v1549,38,,,,,,,,,,,,,,,,,,,,,
p1532,BLACK,M,ABERDEEN,MD,MD,1152,v1851,48,,,,,,,,,,,,,,,,,,,,,
p1545,BLACK,M,ABERDEEN,MD,MD,1154,v1852,56,,,,,,,,,,,,,,,,,,,,,
p1553,BLACK,M,ABINGDON,MD,MD,1122,v1244,57,,,,,,,,,,,,,,,,,,,,,
p1564,ASIAN,M,ABERDEEN,MD,MD,1158,v1550,42,,,,,,,,,,,,,,,,,,,,,
p1567,BLACK,M,ABINGDON,MD,MD,1144,v3221,24,,,,,,,,,,,,,,,,,,,,,
p1574,BLACK,M,ABERDEEN,MD,MD,1156,v1853,68,,,,,,,,,,,,,,,,,,,,,
p1586,BLACK,M,ABINGDON,MD,MD,1146,v3222,40,,,,,,,,,,,,,,,,,,,,,
p1588,BLACK,M,ABERDEEN,MD,MD,1144,v1854,32,,,,,,,,,,,,,,,,,,,,,
p1591,BLACK,M,ABINGDON,MD,MD,1134,v1245,69,,,,,,,,,,,,,,,,,,,,,
p1597,BLACK,M,ABERDEEN,MD,MD,1146,v1855,59,,,,,,,,,,,,,,,,,,,,,
p1599,BLACK,M,ABINGDON,MD,MD,1116,v1246,24,,,,,,,,,,,,,,,,,,,,,
p1604,BLACK,M,ABERDEEN,MD,MD,1124,v1856,19,,,,,,,,,,,,,,,,,,,,,
p1607,BLACK,M,ABERDEEN,MD,MD,1132,v1857,42,,,,,,,,,,,,,,,,,,,,,
p1611,BLACK,M,ABERDEEN,MD,MD,1136,v1858,25,,,,,,,,,,,,,,,,,,,,,
p1617,BLACK,M,ABERDEEN,MD,MD,1138,v1859,44,,,,,,,,,,,,,,,,,,,,,
p1622,OTHER,M,ADELPHI,MD,MD,1106,v2681,55,,,,,,,,,,,,,,,,,,,,,
p1632,BLACK,M,ADELPHI,MD,DC,1126,v2682,26,,,,,,,,,,,,,,,,,,,,,
p1636,BLACK,M,ABINGDON,MD,MD,1120,v1247,64,,,,,,,,,,,,,,,,,,,,,
p1640,BLACK,M,ABERDEEN,MD,MD,1140,v1860,65,,,,,,,,,,,,,,,,,,,,,
p1650,HISPANIC,M,ADELPHI,MD,MD,1134,v3002,45,,,,,,,,,,,,,,,,,,,,,
p1651,BLACK,M,ABERDEEN,MD,MD,1142,v1861,35,,,,,,,,,,,,,,,,,,,,,
p1652,HISPANIC,M,ADELPHI,MD,XX,1114,v2683,36,,,,,,,,,,,,,,,,,,,,,
p1657,BLACK,M,ADELPHI,MD,MD,1116,v3003,49,,,,,,,,,,,,,,,,,,,,,
p1662,ASIAN,M,ABERDEEN,MD,MD,1152,v1551,52,,,,,,,,,,,,,,,,,,,,,
p1671,BLACK,M,ABINGDON,MD,MD,1124,v3223,60,,,,,,,,,,,,,,,,,,,,,
p1682,BLACK,M,ABERDEEN,MD,MD,1148,v1862,37,,,,,,,,,,,,,,,,,,,,,
p1702,BLACK,F,ABERDEEN,MD,MD,1128,v1863,63,,,,,,,,,,,,,,,,,,,,,
p1707,WHITE,M,ABERDEEN,MD,MD,1100,v1864,31,,,,,,,,,,,,,,,,,,,,,
p1729,BLACK,M,ADELPHI,MD,MD,1122,v2684,36,,,,,,,,,,,,,,,,,,,,,
p1736,OTHER,M,ADELPHI,MD,MD,1134,v2685,33,,,,,,,,,,,,,,,,,,,,,
p1744,BLACK,F,ABERDEEN,MD,NY,1104,v1865,61,,,,,,,,,,,,,,,,,,,,,
p1747,BLACK,M,ABINGDON,MD,MD,1118,v1248,25,,,,,,,,,,,,,,,,,,,,,
p1749,BLACK,M,ABINGDON,MD,MD,1150,v1249,27,,,,,,,,,,,,,,,,,,,,,
p1754,BLACK,F,ABERDEEN,MD,MD,1108,v1866,66,,,,,,,,,,,,,,,,,,,,,
p1773,BLACK,M,ADELPHI,MD,DC,1116,v2686,53,,,,,,,,,,,,,,,,,,,,,
p1795,BLACK,F,ABERDEEN,MD,MD,1110,v1867,53,,,,,,,,,,,,,,,,,,,,,
p1798,BLACK,M,ADELPHI,MD,MD,1120,v2687,24,,,,,,,,,,,,,,,,,,,,,
p1799,WHITE,F,ADAMSTOWN,MD,MD,1156,v3370,20,,,,,,,,,,,,,,,,,,,,,
p1830,BLACK,M,ADELPHI,MD,DC,1118,v2688,31,,,,,,,,,,,,,,,,,,,,,
p1831,BLACK,M,ADELPHI,MD,MD,1150,v2689,19,,,,,,,,,,,,,,,,,,,,,
p1834,BLACK,M,ABERDEEN,MD,MD,1112,v1868,47,,,,,,,,,,,,,,,,,,,,,
p1839,BLACK,M,ABERDEEN,MD,MD,1130,v1869,64,,,,,,,,,,,,,,,,,,,,,
p1840,BLACK,M,ABERDEEN,MD,MD,1102,v1870,33,,,,,,,,,,,,,,,,,,,,,
p1846,HISPANIC,M,ABERDEEN,MD,MD,1106,v1871,70,,,,,,,,,,,,,,,,,,,,,
p1850,BLACK,M,ABINGDON,MD,MD,1158,v1250,61,,,,,,,,,,,,,,,,,,,,,
p1852,HISPANIC,M,ABERDEEN,MD,MD,1126,v1872,19,,,,,,,,,,,,,,,,,,,,,
p1853,ASIAN,M,ABERDEEN,MD,MD,1114,v1873,28,,,,,,,,,,,,,,,,,,,,,
p1859,WHITE,M,ABERDEEN,MD,MD,1154,v1552,22,,,,,,,,,,,,,,,,,,,,,
p1863,WHITE,M,ABERDEEN,MD,MD,1156,v1553,51,,,,,,,,,,,,,,,,,,,,,
p1872,BLACK,M,ABINGDON,MD,MD,1152,v1251,20,,,,,,,,,,,,,,,,,,,,,
p1891,BLACK,M,ADELPHI,MD,DC,1158,v2690,51,,,,,,,,,,,,,,,,,,,,,
p1909,ASIAN,M,ABERDEEN,MD,MD,1122,v1874,61,,,,,,,,,,,,,,,,,,,,,
p1910,WHITE,M,ABERDEEN,MD,MD,1134,v1875,64,,,,,,,,,,,,,,,,,,,,,
p1917,WHITE,M,ADAMSTOWN,MD,MD,1144,v3371,31,,,,,,,,,,,,,,,,,,,,,
p1918,WHITE,M,ABERDEEN,MD,MD,1116,v1876,70,,,,,,,,,,,,,,,,,,,,,
p1930,BLACK,M,ABERDEEN,MD,MD,1120,v1877,52,,,,,,,,,,,,,,,,,,,,,
p1931,WHITE,M,ADELPHI,MD,MD,1120,v3004,62,,,,,,,,,,,,,,,,,,,,,
p1937,HISPANIC,M,ADELPHI,MD,MD,1152,v2691,61,,,,,,,,,,,,,,,,,,,,,
p1939,WHITE,M,ABERDEEN,MD,MD,1144,v1554,25,,,,,,,,,,,,,,,,,,,,,
p1941,HISPANIC,M,ABERDEEN,MD,MD,1118,v1878,36,,,,,,,,,,,,,,,,,,,,,
p1943,WHITE,F,ABINGDON,MD,MD,1154,v1252,69,,,,,,,,,,,,,,,,,,,,,
p1944,ASIAN,M,ADELPHI,MD,MD,1118,v3005,46,,,,,,,,,,,,,,,,,,,,,
p1948,BLACK,F,ABINGDON,MD,MD,1150,v1879,24,,,,,,,,,,,,,,,,,,,,,
p1961,WHITE,F,ABINGDON,MD,MD,1156,v1253,18,,,,,,,,,,,,,,,,,,,,,
p1969,HISPANIC,M,ABINGDON,MD,XX,1158,v1880,34,,,,,,,,,,,,,,,,,,,,,
p1970,HISPANIC,M,ABINGDON,MD,XX,1152,v1881,45,,,,,,,,,,,,,,,,,,,,,
p1973,WHITE,M,ABINGDON,MD,MD,1154,v1882,41,,,,,,,,,,,,,,,,,,,,,
p1974,WHITE,M,ABINGDON,MD,MD,1156,v1883,54,,,,,,,,,,,,,,,,,,,,,
p1995,BLACK,M,ABINGDON,MD,MD,1144,v1884,27,,,,,,,,,,,,,,,,,,,,,
p2001,BLACK,M,ABINGDON,MD,MD,1146,v1885,48,,,,,,,,,,,,,,,,,,,,,
p2006,HISPANIC,M,ADELPHI,MD,MD,1154,v2692,63,,,,,,,,,,,,,,,,,,,,,
p2027,BLACK,M,ABINGDON,MD,MD,1124,v1886,60,,,,,,,,,,,,,,,,,,,,,
p2034,BLACK,M,ABINGDON,MD,MD,1132,v1887,53,,,,,,,,,,,,,,,,,,,,,
p2039,WHITE,M,ADAMSTOWN,MD,MD,1146,v3372,30,,,,,,,,,,,,,,,,,,,,,
p2052,WHITE,M,ADELPHI,MD,MD,1156,v2693,69,,,,,,,,,,,,,,,,,,,,,
p2061,WHITE,M,ADAMSTOWN,MD,MD,1124,v3373,60,,,,,,,,,,,,,,,,,,,,,
p2067,OTHER,F,ABINGDON,MD,MD,1144,v1254,59,,,,,,,,,,,,,,,,,,,,,
p2075,HISPANIC,M,ADELPHI,MD,MD,1144,v2694,60,,,,,,,,,,,,,,,,,,,,,
p2081,HISPANIC,F,ABINGDON,MD,MD,1146,v1255,41,,,,,,,,,,,,,,,,,,,,,
p2083,BLACK,M,ABINGDON,MD,MD,1136,v1888,61,,,,,,,,,,,,,,,,,,,,,
p2088,BLACK,M,ABINGDON,MD,MD,1138,v1889,22,,,,,,,,,,,,,,,,,,,,,
p2089,WHITE,M,ABERDEEN,MD,MD,1146,v1555,45,,,,,,,,,,,,,,,,,,,,,
p2104,HISPANIC,F,ADELPHI,MD,MD,1150,v3006,45,,,,,,,,,,,,,,,,,,,,,
p2109,HISPANIC,M,ADELPHI,MD,MD,1146,v2695,44,,,,,,,,,,,,,,,,,,,,,
p2111,HISPANIC,F,ADELPHI,MD,MD,1158,v3007,30,,,,,,,,,,,,,,,,,,,,,
p2116,WHITE,M,ADELPHI,MD,MD,1152,v3008,27,,,,,,,,,,,,,,,,,,,,,
p2118,ASIAN,M,ADELPHI,MD,TX,1124,v2696,49,,,,,,,,,,,,,,,,,,,,,
p2119,HISPANIC,M,ADELPHI,MD,MD,1132,v2697,49,,,,,,,,,,,,,,,,,,,,,
p2124,WHITE,M,ADAMSTOWN,MD,MD,1132,v3374,49,,,,,,,,,,,,,,,,,,,,,
p2134,HISPANIC,M,ABERDEEN,MD,MD,1124,v1556,21,,,,,,,,,,,,,,,,,,,,,
p2139,BLACK,M,ABINGDON,MD,MD,1140,v1890,30,,,,,,,,,,,,,,,,,,,,,
p2148,HISPANIC,M,ABERDEEN,MD,MD,1132,v1557,64,,,,,,,,,,,,,,,,,,,,,
p2158,BLACK,M,ABINGDON,MD,MD,1142,v1891,36,,,,,,,,,,,,,,,,,,,,,
p2181,HISPANIC,M,ADELPHI,MD,MD,1136,v2698,44,,,,,,,,,,,,,,,,,,,,,
p2182,WHITE,M,ADELPHI,MD,MD,1154,v3009,32,,,,,,,,,,,,,,,,,,,,,
p2192,WHITE,M,ADELPHI,MD,MD,1156,v3010,46,,,,,,,,,,,,,,,,,,,,,
p2193,HISPANIC,M,ADELPHI,MD,MD,1138,v2699,48,,,,,,,,,,,,,,,,,,,,,
p2210,BLACK,M,ABERDEEN,MD,FL,1136,v1558,28,,,,,,,,,,,,,,,,,,,,,
p2231,BLACK,M,ABINGDON,MD,MD,1148,v1892,28,,,,,,,,,,,,,,,,,,,,,
p2249,BLACK,M,ABINGDON,MD,MD,1128,v1893,50,,,,,,,,,,,,,,,,,,,,,
p2252,BLACK,M,ABINGDON,MD,MD,1132,v3224,67,,,,,,,,,,,,,,,,,,,,,
p2271,WHITE,M,ABINGDON,MD,MD,1136,v3225,41,,,,,,,,,,,,,,,,,,,,,
p2273,WHITE,F,ADELPHI,MD,MD,1140,v2700,48,,,,,,,,,,,,,,,,,,,,,
p2281,WHITE,M,ADAMSTOWN,MD,MD,1136,v3375,25,,,,,,,,,,,,,,,,,,,,,
p2288,WHITE,M,ABERDEEN,NJ,NJ,1138,v1559,46,,,,,,,,,,,,,,,,,,,,,
p2305,BLACK,M,ABINGDON,MD,MD,1100,v1894,67,,,,,,,,,,,,,,,,,,,,,
p2318,WHITE,M,ABINGDON,MD,MD,1138,v3226,62,,,,,,,,,,,,,,,,,,,,,
p2322,HISPANIC,M,ADELPHI,MD,MD,1142,v2701,57,,,,,,,,,,,,,,,,,,,,,
p2346,WHITE,M,ADELPHI,MD,MD,1144,v3011,43,,,,,,,,,,,,,,,,,,,,,
p2353,BLACK,F,ADELPHI,MD,MD,1146,v3012,54,,,,,,,,,,,,,,,,,,,,,
p2361,HISPANIC,M,ABERDEEN,MD,MD,1140,v1560,58,,,,,,,,,,,,,,,,,,,,,
p2363,WHITE,M,ABINGDON,MD,MD,1104,v1895,34,,,,,,,,,,,,,,,,,,,,,
p2381,WHITE,M,ABINGDON,MD,MD,1140,v3227,29,,,,,,,,,,,,,,,,,,,,,
p2395,HISPANIC,M,ADELPHI,MD,MD,1124,v3013,66,,,,,,,,,,,,,,,,,,,,,
p2410,WHITE,F,ADELPHI,MD,MD,1148,v2702,44,,,,,,,,,,,,,,,,,,,,,
p2424,WHITE,M,ABINGDON,MD,MD,1108,v1896,65,,,,,,,,,,,,,,,,,,,,,
p2443,BLACK,M,ABINGDON,MD,MD,1124,v1256,32,,,,,,,,,,,,,,,,,,,,,
p2449,HISPANIC,M,ADELPHI,MD,MD,1128,v2703,36,,,,,,,,,,,,,,,,,,,,,
p2450,BLACK,M,ABINGDON,MD,MD,1132,v1257,42,,,,,,,,,,,,,,,,,,,,,
p2451,WHITE,F,ADELPHI,MD,MD,1120,v2704,69,,,,,,,,,,,,,,,,,,,,,
p2458,WHITE,M,ABERDEEN,MD,MD,1142,v1561,37,,,,,,,,,,,,,,,,,,,,,
p2459,BLACK,M,ABINGDON,MD,MD,1136,v1258,28,,,,,,,,,,,,,,,,,,,,,
p2469,HISPANIC,M,ADELPHI,MD,MD,1118,v2705,29,,,,,,,,,,,,,,,,,,,,,
p2475,WHITE,M,ABERDEEN,MD,MD,1148,v1562,46,,,,,,,,,,,,,,,,,,,,,
p2480,WHITE,M,ABINGDON,MD,MD,1110,v1897,66,,,,,,,,,,,,,,,,,,,,,
p2518,WHITE,F,ABINGDON,MD,MD,1112,v1898,37,,,,,,,,,,,,,,,,,,,,,
p2535,WHITE,F,ADELPHI,MD,MD,1150,v2706,56,,,,,,,,,,,,,,,,,,,,,
p2540,WHITE,M,ABINGDON,MD,MD,1142,v3228,23,,,,,,,,,,,,,,,,,,,,,
p2545,WHITE,M,ABINGDON,MD,MD,1148,v3229,25,,,,,,,,,,,,,,,,,,,,,
p2550,BLACK,M,ABINGDON,MD,MD,1128,v3230,23,,,,,,,,,,,,,,,,,,,,,
p2551,BLACK,M,ABINGDON,MD,MD,1138,v1259,57,,,,,,,,,,,,,,,,,,,,,
p2558,WHITE,M,ABINGDON,MD,MD,1130,v1899,36,,,,,,,,,,,,,,,,,,,,,
p2562,BLACK,M,ADELPHI,MD,MD,1158,v2707,28,,,,,,,,,,,,,,,,,,,,,
p2573,WHITE,M,ADAMSTOWN,MD,MD,1138,v3376,45,,,,,,,,,,,,,,,,,,,,,
p2586,BLACK,M,ABINGDON,MD,MD,1140,v1260,18,,,,,,,,,,,,,,,,,,,,,
p2589,WHITE,M,ABILENE,TX,TX,1128,v1563,62,,,,,,,,,,,,,,,,,,,,,
p2598,WHITE,F,ABINGDON,MD,MD,1102,v1900,47,,,,,,,,,,,,,,,,,,,,,
p2599,OTHER,M,ABINGDON,MD,MD,1142,v1261,18,,,,,,,,,,,,,,,,,,,,,
p2607,OTHER,M,ABINGDON,MD,MD,1148,v1262,42,,,,,,,,,,,,,,,,,,,,,
p2622,OTHER,M,ABINGDON,MD,MD,1128,v1263,67,,,,,,,,,,,,,,,,,,,,,
p2623,OTHER,M,ABINGDON,MD,MD,1100,v1264,28,,,,,,,,,,,,,,,,,,,,,
p2634,WHITE,M,ABILENE,TX,TX,1100,v1564,45,,,,,,,,,,,,,,,,,,,,,
p2645,HISPANIC,M,ADELPHI,MD,MD,1152,v2708,68,,,,,,,,,,,,,,,,,,,,,
p2667,WHITE,M,ABINGDON,MD,MD,1100,v3231,32,,,,,,,,,,,,,,,,,,,,,
p2669,BLACK,M,ABINGDON,MD,MD,1106,v1901,59,,,,,,,,,,,,,,,,,,,,,
p2680,WHITE,M,ADELPHI,MD,MD,1132,v3014,53,,,,,,,,,,,,,,,,,,,,,
p2690,WHITE,M,ABINGDON,MD,MD,1126,v1902,30,,,,,,,,,,,,,,,,,,,,,
p2693,WHITE,M,ADAMSTOWN,MD,MD,1140,v3377,30,,,,,,,,,,,,,,,,,,,,,
p2694,WHITE,M,ABINGDON,MD,MD,1104,v1565,60,,,,,,,,,,,,,,,,,,,,,
p2699,WHITE,M,ABINGDON,MD,MD,1108,v1566,49,,,,,,,,,,,,,,,,,,,,,
p2721,OTHER,M,ABINGDON,MD,MD,1104,v1265,40,,,,,,,,,,,,,,,,,,,,,
p2729,BLACK,M,ABINGDON,MD,MD,1110,v1567,43,,,,,,,,,,,,,,,,,,,,,
p2730,HISPANIC,F,ADELPHI,MD,MD,1136,v3015,29,,,,,,,,,,,,,,,,,,,,,
p2734,WHITE,F,ABINGDON,MD,MD,1112,v1568,35,,,,,,,,,,,,,,,,,,,,,
p2735,WHITE,M,ABINGDON,MD,MD,1114,v1903,28,,,,,,,,,,,,,,,,,,,,,
p2741,WHITE,M,ABINGDON,MD,MD,1122,v1904,30,,,,,,,,,,,,,,,,,,,,,
p2742,BLACK,M,ADELPHI,MD,MD,1138,v3016,40,,,,,,,,,,,,,,,,,,,,,
p2755,WHITE,F,ABINGDON,MD,MD,1134,v1905,34,,,,,,,,,,,,,,,,,,,,,
p2759,WHITE,M,ABINGDON,MD,MD,1104,v3232,58,,,,,,,,,,,,,,,,,,,,,
p2764,BLACK,F,ABINGDON,MD,MD,1108,v3233,20,,,,,,,,,,,,,,,,,,,,,
p2773,BLACK,M,ABINGTON,PA,PA,1108,v1266,28,,,,,,,,,,,,,,,,,,,,,
p2779,WHITE,M,ADAMSTOWN,MD,MD,1142,v3378,29,,,,,,,,,,,,,,,,,,,,,
p2783,WHITE,M,ABINGDON,MD,MD,1116,v1906,64,,,,,,,,,,,,,,,,,,,,,
p2786,HISPANIC,M,ADELPHI,MD,MD,1154,v2709,67,,,,,,,,,,,,,,,,,,,,,
p2789,BLACK,F,ABINGDON,MD,MD,1120,v1907,60,,,,,,,,,,,,,,,,,,,,,
p2791,BLACK,F,ACCOKEEK,MD,MD,1110,v1267,64,,,,,,,,,,,,,,,,,,,,,
p2797,BLACK,F,ADELPHI,MD,MD,1156,v2710,62,,,,,,,,,,,,,,,,,,,,,
p2803,BLACK,F,ACCOKEEK,MD,MD,1112,v1268,50,,,,,,,,,,,,,,,,,,,,,
p2813,BLACK,F,ACCOKEEK,MD,MD,1130,v1269,45,,,,,,,,,,,,,,,,,,,,,
p2819,WHITE,M,ABINGDON,MD,MD,1130,v1569,33,,,,,,,,,,,,,,,,,,,,,
p2831,BLACK,M,ABINGDON,MD,MD,1118,v1908,22,,,,,,,,,,,,,,,,,,,,,
p2834,WHITE,M,ABINGDON,MD,MD,1150,v1909,57,,,,,,,,,,,,,,,,,,,,,
p2843,BLACK,M,ACCOKEEK,MD,MD,1102,v1270,42,,,,,,,,,,,,,,,,,,,,,
p2850,HISPANIC,M,ACCOKEEK,MD,MD,1106,v1271,32,,,,,,,,,,,,,,,,,,,,,
p2856,OTHER,M,ABINGDON,VA,VA,1158,v1910,47,,,,,,,,,,,,,,,,,,,,,
p2863,BLACK,M,ADAMSTOWN,MD,MD,1148,v3379,25,,,,,,,,,,,,,,,,,,,,,
p2865,BLACK,M,ABINGDON,MD,MD,1152,v1911,48,,,,,,,,,,,,,,,,,,,,,
p2866,WHITE,M,ABINGDON,MD,MD,1154,v1912,21,,,,,,,,,,,,,,,,,,,,,
p2871,HISPANIC,M,ADELPHI,MD,MD,1140,v3017,34,,,,,,,,,,,,,,,,,,,,,
p2872,WHITE,M,ABINGDON,MD,MD,1156,v1913,49,,,,,,,,,,,,,,,,,,,,,
p2873,BLACK,F,ABINGDON,MD,MD,1144,v1914,47,,,,,,,,,,,,,,,,,,,,,
p2874,BLACK,M,ABINGDON,MD,MD,1146,v1915,47,,,,,,,,,,,,,,,,,,,,,
p2875,BLACK,M,ABINGDON,MD,MD,1124,v1916,40,,,,,,,,,,,,,,,,,,,,,
p2884,WHITE,F,ABINGDON,MD,MD,1102,v1570,34,,,,,,,,,,,,,,,,,,,,,
p2889,BLACK,M,ADELPHI,MD,MD,1142,v3018,51,,,,,,,,,,,,,,,,,,,,,
p2897,WHITE,M,ABINGDON,MD,MD,1106,v1571,42,,,,,,,,,,,,,,,,,,,,,
p2912,WHITE,M,ABINGTON,PA,PA,1110,v3234,66,,,,,,,,,,,,,,,,,,,,,
p2920,BLACK,F,ACCOKEEK,MD,MD,1126,v1272,45,,,,,,,,,,,,,,,,,,,,,
p2930,HISPANIC,M,ADELPHI,MD,MD,1148,v3019,26,,,,,,,,,,,,,,,,,,,,,
p2933,WHITE,M,ABINGDON,MD,MD,1132,v1917,43,,,,,,,,,,,,,,,,,,,,,
p2934,WHITE,F,ADELPHI,MD,MD,1144,v2711,55,,,,,,,,,,,,,,,,,,,,,
p2938,WHITE,M,ABINGDON,MD,MD,1136,v1918,24,,,,,,,,,,,,,,,,,,,,,
p2944,WHITE,M,ABINGDON,MD,MD,1138,v1919,46,,,,,,,,,,,,,,,,,,,,,
