vehicleid,vehicletype,year,make,model,color,personid
v1352,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1939
v1353,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1941
v1354,02 - Automobile,2007,SCIO,2H,BLACK,p1943
v1355,02 - Automobile,2007,SCIO,2H,BLACK,p1944
v1356,02 - Automobile,2003,HYUN,4S,BLACK,p1948
v1357,02 - Automobile,2002,ACURA,3.5 RL,SILVER,p1961
v1358,02 - Automobile,2002,ACURA,3.5 RL,SILVER,p1969
v1359,02 - Automobile,2010,NISSAN,ALTIMA,BLUE,p1970
v1360,02 - Automobile,2010,NISSAN,ALTIMA,BLUE,p1973
v1361,02 - Automobile,2010,NISSAN,ALTIMA,BLUE,p1974
v1362,02 - Automobile,2010,NISSAN,ALTIMA,BLUE,p1995
v1363,02 - Automobile,2010,NISSAN,ALTIMA,BLUE,p2001
v1364,02 - Automobile,1994,GMC,SIERRA,GREEN,p2006
v1365,02 - Automobile,1991,TOYT,2H,BLACK,p2027
v1366,02 - Automobile,2005,NISS,TK,GREEN,p2034
v1367,05 - Light Duty Truck,2012,TOYOTA,TACOMA,BLACK,p2039
v1368,02 - Automobile,2012,TOYOTA,AVALON,WHITE,p2052
v1369,02 - Automobile,2006,HOND,4S,GRAY,p2061
v1370,02 - Automobile,1999,MAZDA,MIATA,BLUE,p2067
v1371,02 - Automobile,2006,MAZDA,3,GRAY,p2075
v1372,02 - Automobile,2000,FORD,RANGER,GREEN,p2081
v1373,02 - Automobile,2000,FORD,RANGER,GREEN,p2083
v1374,02 - Automobile,2000,FORD,RANGER,GREEN,p2088
v1375,02 - Automobile,2000,FORD,RANGER,GREEN,p2089
v1376,02 - Automobile,2000,FORD,RANGER,GREEN,p2104
v1377,02 - Automobile,2000,FORD,RANGER,GREEN,p2109
v1378,02 - Automobile,2000,FORD,RANGER,GREEN,p2111
v1379,02 - Automobile,2000,FORD,RANGER,GREEN,p2116
v1380,02 - Automobile,2000,FORD,RANGER,GREEN,p2118
v1381,02 - Automobile,2000,FORD,RANGER,GREEN,p2119
v1382,02 - Automobile,2000,FORD,RANGER,GREEN,p2124
v1383,08 - Recreational Vehicle,2007,MERZ,ML350,WHITE,p2134
v1384,02 - Automobile,2012,NISSAN,ALTIMA,WHITE,p2139
v1385,02 - Automobile,2003,HOND,CIV 2H,BLACK,p2148
v1386,02 - Automobile,2007,ISUZU,TK,PURPLE,p2158
v1387,05 - Light Duty Truck,2004,BMW,X5,GRAY,p2181
v1388,02 - Automobile,2003,FORD,F150,WHITE,p2182
v1389,02 - Automobile,2013,FRHT,LG TRUCK,WHITE,p2192
v1390,05 - Light Duty Truck,2008,CHEV,EQUINOX,GRAY,p2193
v1391,02 - Automobile,2010,TOYOTA,HIGHLANDER,SILVER,p2210
v1392,02 - Automobile,2014,KIA,SOUL,"BLUE, DARK",p2231
v1393,02 - Automobile,2014,KIA,SOUL,"BLUE, DARK",p2249
v1394,02 - Automobile,2014,KIA,SOUL,"BLUE, DARK",p2252
v1395,02 - Automobile,2014,KIA,SOUL,"BLUE, DARK",p2271
v1396,02 - Automobile,2008,NISSAN,SENTRA  2DR,BLACK,p2273
v1397,02 - Automobile,2002,VOLVO,S80,SILVER,p2281
v1398,02 - Automobile,2002,VOLVO,S80,SILVER,p2288
v1399,02 - Automobile,2002,VOLVO,S80,SILVER,p2305
v1400,02 - Automobile,2002,VOLVO,S80,SILVER,p2318
v1401,02 - Automobile,2008,CHEVY,TK,GRAY,p2322
v1402,02 - Automobile,2016,FORD,F150,WHITE,p2346
v1403,02 - Automobile,2016,FORD,F150,WHITE,p2353
v1404,02 - Automobile,2007,MERCURY,MOUNTAINEER,SILVER,p2361
v1405,02 - Automobile,2009,HONDA,ACCORD,GRAY,p2363
v1406,02 - Automobile,2005,HONDA,CIVIC,"BLUE, DARK",p2381
v1407,02 - Automobile,1998,FORD,MUSTANG,YELLOW,p2395
v1408,02 - Automobile,2015,NISSAN,ALTIMA,GOLD,p2410
v1409,02 - Automobile,2015,NISSAN,ALTIMA,GOLD,p2424
v1410,02 - Automobile,2015,KIA,FORTE,BLACK,p2443
v1411,02 - Automobile,2015,NISSAN,SUV PATHFINDER,BLACK,p2449
v1412,05 - Light Duty Truck,2012,CADI,TK,BLACK,p2450
v1413,05 - Light Duty Truck,2011,CHEVY,TK,WHITE,p2451
v1414,07 - Truck/Road Tractor,2005,INTL,TT,WHITE,p2458
v1415,02 - Automobile,1999,BUIC,4S,WHITE,p2459
v1416,02 - Automobile,2009,CADI,TK,RED,p2469
v1417,02 - Automobile,2004,SATURN,SUV,BLACK,p2475
v1418,02 - Automobile,2004,SATURN,SUV,BLACK,p2480
v1419,02 - Automobile,2004,SATURN,SUV,BLACK,p2518
v1420,02 - Automobile,2015,KIA,FORTE,BLACK,p2535
v1421,02 - Automobile,2015,KIA,FORTE,BLACK,p2540
v1422,02 - Automobile,2015,NISSAN,ALTIMA,GOLD,p2545
v1423,02 - Automobile,2012,DODGE,SUV,GRAY,p2550
v1424,02 - Automobile,2004,CHRYSLER,PT CRUISER,MAROON,p2551
v1425,02 - Automobile,2011,CHEVY,MALIBU,WHITE,p2558
v1426,28 - Other,2011,FORD,SUV EDGE,N/A,p2562
v1427,02 - Automobile,2013,HONDA,2DR CIVIC,N/A,p2573
v1428,02 - Automobile,2010,LEXUS,SU,BLACK,p2586
v1429,02 - Automobile,2010,ACUR,4S,GRAY,p2589
v1430,02 - Automobile,2013,TOYOTA,4S,GRAY,p2598
v1431,28 - Other,2005,TOYT,TK,BLACK,p2599
v1432,02 - Automobile,1998,DODGE,RAM,WHITE,p2607
v1433,02 - Automobile,1998,DODGE,RAM,WHITE,p2622
v1434,02 - Automobile,1998,DODGE,RAM,WHITE,p2623
v1435,02 - Automobile,1998,DODGE,RAM,WHITE,p2634
v1436,02 - Automobile,1998,DODGE,RAM,WHITE,p2645
v1437,02 - Automobile,1998,DODGE,RAM,WHITE,p2667
v1438,02 - Automobile,1998,DODGE,RAM,WHITE,p2669
v1439,02 - Automobile,1998,DODGE,RAM,WHITE,p2680
v1440,02 - Automobile,2008,MITSUBISHI,4 DOOR,GRAY,p2690
v1441,02 - Automobile,2003,FORD,4 DOOR,GRAY,p2693
v1442,02 - Automobile,2005,SUBARU,SW,SILVER,p2694
v1443,02 - Automobile,2006,TOYT,4S,BLUE,p2699
v1444,02 - Automobile,2006,MERZ,4S,BLACK,p2721
v1445,05 - Light Duty Truck,2015,FORD,F250,WHITE,p2729
v1446,28 - Other,2002,CHEV,EXPRESS,SILVER,p2730
v1447,02 - Automobile,2013,HONDA,CIVIC,BLACK,p2734
v1448,02 - Automobile,2003,FORD,4 DOOR,GRAY,p2735
v1449,02 - Automobile,2006,MAZDA,3,GRAY,p2741
v1450,02 - Automobile,2012,INFI,M37,BLACK,p2742
v1451,02 - Automobile,2012,INFI,M37,BLACK,p2755
v1452,02 - Automobile,2012,INFI,M37,BLACK,p2759
v1453,02 - Automobile,2002,VOLVO,S80,SILVER,p2764
v1454,02 - Automobile,2011,TOYOTA,TK,BLACK,p2773
v1455,05 - Light Duty Truck,2004,JEEP,LIBERTY,BLACK,p2779
v1456,02 - Automobile,2008,NISSAN,SENTRA  2DR,BLACK,p2783
v1457,02 - Automobile,2012,TOYOTA,AVALON,WHITE,p2786
v1458,02 - Automobile,2012,TOYOTA,AVALON,WHITE,p2789
v1459,02 - Automobile,2012,TOYOTA,AVALON,WHITE,p2791
v1460,28 - Other,2005,FORD,EXPLORER,SILVER,p2797
v1461,02 - Automobile,2011,NISSAN,ALTIMA,BLUE,p2803
v1462,02 - Automobile,2011,NISSAN,ALTIMA,BLUE,p2813
v1463,06 - Heavy Duty Truck,2011,ISU,TK,WHITE,p2819
v1464,06 - Heavy Duty Truck,2011,ISU,TK,WHITE,p2831
v1465,02 - Automobile,2009,HONDA,4DR,N/A,p2834
v1466,02 - Automobile,2012,CHRY,4S,N/A,p2843
v1467,02 - Automobile,2007,SCION,TC,BLACK,p2850
v1468,02 - Automobile,2010,TOYOTA,HIGHLANDER,SILVER,p2856
v1469,02 - Automobile,2010,TOYOTA,HIGHLANDER,SILVER,p2863
v1470,02 - Automobile,2010,TOYOTA,HIGHLANDER,SILVER,p2865
v1471,02 - Automobile,2010,TOYOTA,HIGHLANDER,SILVER,p2866
v1472,02 - Automobile,2007,SCION,TC,BLACK,p2871
v1473,02 - Automobile,2003,FORD,F150,WHITE,p2872
v1474,02 - Automobile,2005,FORD,TK,SILVER,p2873
v1475,02 - Automobile,2004,HONDA,CIVIC,BLACK,p2874
v1476,02 - Automobile,2003,KAWK,NA,BLUE,p2875
v1477,02 - Automobile,2002,HYUNDAI,ELANTRA,GOLD,p2884
v1478,02 - Automobile,2010,MITSUBISHI,LANCER,RED,p2889
v1479,02 - Automobile,2010,MITSUBISHI,LANCER,RED,p2897
v1480,02 - Automobile,2003,VW,JETTA,GRAY,p2912
v1481,02 - Automobile,2010,TOTOTA,HIGHLANDER,SILVER,p2920
v1482,02 - Automobile,2010,TOTOTA,HIGHLANDER,SILVER,p2930
v1483,02 - Automobile,2010,TOTOTA,HIGHLANDER,SILVER,p2933
v1484,02 - Automobile,2010,TOTOTA,HIGHLANDER,SILVER,p2934
v1485,02 - Automobile,2010,TOTOTA,HIGHLANDER,SILVER,p2938
v1486,28 - Other,2008,FORD,TK,WHITE,p2944
v1487,02 - Automobile,2011,HYUNDAI,4DR,SILVER,p2979
v1488,02 - Automobile,2003,SATU,4S,GREEN,p2987
v1489,02 - Automobile,2013,HYUNDAI,ELANTRA,RED,p2989
v1490,02 - Automobile,2007,MAZDA,CX7,RED,p2992
v1491,02 - Automobile,2007,MAZDA,CX7,RED,p2996
v1492,02 - Automobile,2008,HONDA,CRV,"BLUE, DARK",p3000
v1493,02 - Automobile,2011,AUDI,S4,BLACK,p3001
v1494,05 - Light Duty Truck,1999,TOYT,TK,"GREEN, DK",p3014
v1495,05 - Light Duty Truck,2004,BMW,X5,GRAY,p3020
v1496,05 - Light Duty Truck,2004,BMW,X5,GRAY,p3021
v1497,02 - Automobile,2009,GMC,TRUCK,WHITE,p3025
v1498,02 - Automobile,2009,GMC,TRUCK,WHITE,p3030
v1499,02 - Automobile,2007,NISSAN,ALTIMA,SILVER,p3051
v1500,02 - Automobile,2006,HOND,4S,GRAY,p3054
v1501,02 - Automobile,2008,MAZD,4S,SILVER,p3063
v1502,02 - Automobile,2013,TOYT,COROLLA,GRAY,p3075
v1503,02 - Automobile,2008,TOYT,2S,BLUE,p3076
v1504,02 - Automobile,2010,HOND,4D,BLACK,p3078
v1505,02 - Automobile,2014,SUBARU,IMPREZA,BLACK,p3082
v1506,02 - Automobile,2014,SUBARU,IMPREZA,BLACK,p3085
v1507,02 - Automobile,2001,INFINITI,4D,TAN,p3098
v1508,02 - Automobile,2001,INFINITI,4D,TAN,p3104
v1509,05 - Light Duty Truck,2003,CHEVROLET,AVALANCHE,PINK,p3105
v1510,05 - Light Duty Truck,2003,CHEVROLET,AVALANCHE,PINK,p3106
v1511,02 - Automobile,1999,MAZDA,MIATA,BLUE,p3107
v1512,02 - Automobile,1999,MAZDA,MIATA,BLUE,p3113
v1513,02 - Automobile,1999,TOYT,2S,RED,p3116
v1514,05 - Light Duty Truck,2010,FORD,TRUCK,RED,p3118
v1515,05 - Light Duty Truck,2015,JEEP,SUV,GRAY,p3120
v1516,02 - Automobile,2010,DODG,4S,BLACK,p3135
v1517,02 - Automobile,2004,MAZDA,6,TAN,p3137
v1518,02 - Automobile,2003,HONDA,CIVIC,BLACK,p3156
v1519,02 - Automobile,2014,MAZDA,TK,BROWN,p3158
v1520,02 - Automobile,2013,FORD,FOCUS,BLACK,p3163
v1521,02 - Automobile,2013,FORD,FOCUS,BLACK,p3178
v1522,06 - Heavy Duty Truck,2013,FREIGHLINER,TK,RED,p3183
v1523,02 - Automobile,2010,SUBARU,FORESTER,RED,p3184
v1524,02 - Automobile,2003,HOND,CIV 2H,BLACK,p3185
v1525,02 - Automobile,2003,HOND,CIV 2H,BLACK,p3191
v1526,28 - Other,2008,CADI,TK,BLACK,p3197
v1527,02 - Automobile,2007,NISSAN,SENTRA,BLACK,p3200
v1528,02 - Automobile,2005,FORD,TK,SILVER,p3206
v1529,02 - Automobile,2011,CHEVY,MALIBU,WHITE,p3208
v1530,02 - Automobile,2008,MAZD,4S,SILVER,p3217
v1531,02 - Automobile,2010,DODG,4S,BLACK,p3218
v1532,02 - Automobile,2014,KIA,SOUL,BLACK,p3227
v1533,02 - Automobile,2007,PONT,BONV,SILVER,p3230
v1534,02 - Automobile,2006,NISS,4S,BLACK,p3243
v1535,02 - Automobile,2001,MERC,GRAND MARQUIS,BLACK,p3251
v1536,02 - Automobile,2014,HONDA,ACCORD,BLACK,p3252
v1537,02 - Automobile,2014,HONDA,ACCORD,BLACK,p3260
v1538,02 - Automobile,2014,HONDA,ACCORD,BLACK,p3263
v1539,02 - Automobile,2003,HONDA,CRV,BLACK,p3278
v1540,02 - Automobile,2000,BMW,528I,BLACK,p3297
v1541,02 - Automobile,2013,TOYOTA,SUV,BLACK,p1115
v1542,02 - Automobile,2005,CHEVY,MALIBU 4S,WHITE,p1127
v1543,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1132
v1544,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1135
v1545,02 - Automobile,2011,JEEP,SU,BLACK,p1136
v1546,02 - Automobile,2003,MERZ,2H,SILVER,p1137
v1547,02 - Automobile,2003,MERZ,2H,SILVER,p1164
v1548,02 - Automobile,2003,MERZ,2H,SILVER,p1169
v1549,02 - Automobile,2003,MERZ,2H,SILVER,p1170
v1550,02 - Automobile,2003,MERZ,2H,SILVER,p1174
v1551,02 - Automobile,2011,HYUNDAI,SANTA FE,GRAY,p1194
v1552,02 - Automobile,2011,HYUNDAI,SANTA FE,GRAY,p1218
v1553,02 - Automobile,2001,MERZ,4D,SILVER,p1219
v1554,02 - Automobile,2008,PONTIAC,G6,BLUE,p1229
v1555,02 - Automobile,1997,TOYT,COROLLA,RED,p1252
v1556,02 - Automobile,1997,TOYT,COROLLA,RED,p1260
v1557,02 - Automobile,2008,CADI,CTS,BLACK,p1262
v1558,02 - Automobile,1997,TOYOTA,CAMRY,BEIGE,p1268
v1559,02 - Automobile,1997,TOYOTA,CAMRY,BEIGE,p1275
v1560,02 - Automobile,1997,BMW,328I,BLACK,p1281
v1561,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1291
v1562,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1294
v1563,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1306
v1564,02 - Automobile,1995,HONDA,ACCORD,"GREEN, DK",p1312
v1565,02 - Automobile,1999,CHRY,4S,WHITE,p1319
v1566,02 - Automobile,1995,HONDA,ACCORD,"GREEN, DK",p1320
v1567,02 - Automobile,1999,CHRY,4S,WHITE,p1322
v1568,02 - Automobile,1995,HONDA,ACCORD,"GREEN, DK",p1324
v1569,02 - Automobile,1999,CHRY,4S,WHITE,p1340
v1570,02 - Automobile,2012,TOYOTA,CAMRY,BLUE,p1354
v1571,02 - Automobile,1989,CADI,4D,WHITE,p1356
v1572,02 - Automobile,1989,CADI,4D,WHITE,p1379
v1573,02 - Automobile,1989,CADI,4D,WHITE,p1388
v1574,02 - Automobile,1989,CADI,4D,WHITE,p1405
v1575,02 - Automobile,1992,HONDA,CIVIC,RED,p1411
v1576,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1415
v1577,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1416
v1578,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1426
v1579,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1428
v1580,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1439
v1581,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1446
v1582,02 - Automobile,2010,CADILLAC,SRX,GRAY,p1448
v1583,02 - Automobile,2010,CADILLAC,SRX,GRAY,p1453
v1584,02 - Automobile,2010,CADILLAC,SRX,GRAY,p1456
v1585,02 - Automobile,2013,HYUNDIA,ELANTRA,RED,p1462
v1586,02 - Automobile,2013,BMW,X5,WHITE,p1480
v1587,02 - Automobile,2011,GMC,ACADIA,BLACK,p1503
v1588,02 - Automobile,1999,FORD,TK,BLACK,p1504
v1589,02 - Automobile,1997,OLDS,CUTLASS,SILVER,p1510
v1590,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1511
v1591,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1513
v1592,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1515
v1593,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1536
v1594,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1542
v1595,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1557
v1596,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1561
v1597,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1562
v1598,02 - Automobile,2014,HYUNDAI,SONATA,SILVER,p1572
v1599,02 - Automobile,2011,JEEP,WRANGLER,BLACK,p1573
v1600,02 - Automobile,2000,HONDA,ACCORD,GREEN,p1583
v1601,02 - Automobile,2008,PONT,G6,BLUE,p1587
v1602,02 - Automobile,2008,PONT,G6,BLUE,p1594
v1603,05 - Light Duty Truck,2012,DODG,DS,BROWN,p1600
v1604,02 - Automobile,2008,PONT,G6,BLUE,p1606
v1605,02 - Automobile,2008,PONT,G6,BLUE,p1609
v1606,05 - Light Duty Truck,2012,CHEV,SILVERADO,BLUE,p1610
v1607,05 - Light Duty Truck,2012,CHEV,SILVERADO,BLUE,p1612
v1608,05 - Light Duty Truck,2012,CHEV,SILVERADO,BLUE,p1616
v1609,02 - Automobile,1995,PLYMOUTH,NEON,RED,p1618
v1610,02 - Automobile,1995,PLYMOUTH,NEON,RED,p1627
v1611,02 - Automobile,2014,JEEP,4D,WHITE,p1630
v1612,02 - Automobile,2014,JEEP,4D,WHITE,p1633
v1613,02 - Automobile,2011,TOYOTA,CAMRY,SILVER,p1645
v1614,02 - Automobile,2007,NISS,ALTIMA,BLACK,p1661
v1615,02 - Automobile,2007,NISS,ALTIMA,BLACK,p1663
v1616,02 - Automobile,1999,INFINITI,Q30,WHITE,p1665
v1617,02 - Automobile,1999,INFINITI,Q30,WHITE,p1675
v1618,02 - Automobile,1999,INFINITI,Q30,WHITE,p1679
v1619,02 - Automobile,1999,INFINITI,Q30,WHITE,p1686
v1620,29 - Unknown,,NONE,NONE,N/A,p1689
v1621,02 - Automobile,2012,NISSAN,ALTIMA,BLACK,p1690
v1622,02 - Automobile,2012,NISSAN,ALTIMA,BLACK,p1697
v1623,02 - Automobile,2012,NISSAN,ALTIMA,BLACK,p1706
v1624,02 - Automobile,2012,NISSAN,ALTIMA,BLACK,p1712
v1625,02 - Automobile,2000,CHEV,TK,SILVER,p1722
v1626,02 - Automobile,2012,KIA,4S,GRAY,p1723
v1627,02 - Automobile,2012,KIA,4S,GRAY,p1724
v1628,02 - Automobile,2012,KIA,4S,GRAY,p1730
v1629,02 - Automobile,2012,KIA,4S,GRAY,p1731
v1630,02 - Automobile,1999,INFINITI,4S,WHITE,p1732
v1631,02 - Automobile,1999,INFINITI,4S,WHITE,p1737
