personid,dateofstop,timeofstop,agency,subagency,descrption,location,latitude,longitude,contributedaccident,belts,personalinjury,propertydamge,fatal,commerciallicense,hazmat,commericalvehicels,alcohol,workzone,accident
p1173,1/3/2012,16:42:00,MCP,"1st district, Rockville",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,DARNESTOWN RD/QUINCE ORCHARD RD,39.1177479,-77.2511754,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
p1179,6/30/2015,8:28:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,SHADY GROVE RD @ TUPELO DR,39.138065,-77.15339667,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
p1181,6/12/2013,8:46:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,DARNESTOWN RD E/B DUFIEF DR,39.105585,-77.23198167,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
p1188,9/23/2015,8:10:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,S/B SPRING MEADOWS DR(14900BLK),39.098775,-77.30403167,No,No,No,Yes,No,Yes,No,No,No,Yes,No
p1202,11/25/2014,23:09:00,MCP,"1st district, Rockville",DRIVER FAILURE TO STOP AT STOP SIGN LINE,GREAT SENECA ROAD@ DARNESTOWN RD,39.09719333,-77.20398667,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
p1203,6/27/2016,23:15:00,MCP,"1st district, Rockville",POSSESSING SUSPENDED LIC.,RT 355 / TEMPLETON PL,39.06583333,-77.12746833,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
p1215,5/20/2012,2:34:00,MCP,"1st district, Rockville",DRIVING WHILE IMPAIRED BY ALCOHOL,VEIRS MILL RD / ASPEN HILL RD,39.0746588,-77.1152136,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
p1220,11/5/2013,23:36:00,MCP,"1st district, Rockville",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,FREDERICK RD AT W GUDE DR,,,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
p1231,6/5/2013,11:43:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 48 MPH IN A POSTED 30 MPH ZONE,RT 28 @ BLACKBERRY DR,39.11628537,-77.2483153,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No
p1234,11/20/2015,21:32:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,VEIRS MILL RD @ ATLANTIC AVE,39.066515,-77.12767333,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
p1247,10/31/2014,1:31:00,MCP,"1st district, Rockville","DRIVE ACROSS PRIVATE PROPERTY, FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE",355 @ W EDMONSTON,39.076725,-77.13126833,No,No,No,No,No,No,No,No,No,Yes,No
p1249,11/4/2016,7:37:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,DARNESTOWN RD @ DAV RD,,,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes
p1287,12/25/2012,10:04:00,MCP,"1st district, Rockville",FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED. ADJACENT TO STOPPED EMERG. VEH.,SB I270 @ RT 124,39.13864785,-77.21206778,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
p1289,5/4/2012,21:24:00,MCP,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,NEW HAMPSHIRE AVENUE @ NOTELY RD,39.07360807,-77.00762938,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No
p1292,3/31/2014,17:27:00,MCP,"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,RT 28 / MARTINSBURG RD,39.21326,-77.43014833,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
p1301,4/11/2016,17:38:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 47 MPH IN A POSTED 30 MPH ZONE,ESWORTHY RD @ ESWORTHY PL,39.06517333,-77.28308333,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
p1305,4/20/2015,15:13:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,NB AVERY RD @ WARM SPRINGS DR,39.11512333,-77.12184667,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
p1308,1/19/2012,15:16:00,MCP,"1st district, Rockville",OPERATOR NOT RESTRAINED BY SEATBELT,S/B I 270 @ I 370,39.12018103,-77.19798135,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
p1309,11/18/2013,15:50:00,MCP,"1st district, Rockville",CARD,SGR/MEDICIAL DR,39.09595,-77.19529167,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
p1310,10/8/2015,14:01:00,MCP,"1st district, Rockville",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,ROCKVILLE PIK / TEMPLETON PL,39.06812167,-77.12933333,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
p1311,2/21/2014,16:20:00,MCP,"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,DARNESTOWN RD/DUFIEF DR,39.10622,-77.23274667,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No
p1321,12/13/2015,12:38:00,MCP,"1st district, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,N/B 270 AT EXIT 5,39.07794167,-77.168975,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
p1331,2/16/2013,13:18:00,MCP,"1st district, Rockville",ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH. BY FLEEING ON FOOT,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
p1336,2/16/2013,13:18:00,MCP,"1st district, Rockville",POSSESSING FICTITIOUS LIC.,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
p1338,12/25/2012,10:04:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,SB I270 @ RT 124,39.13864785,-77.21206778,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
p1339,4/28/2012,2:18:00,MCP,"1st district, Rockville",DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,SOUTHLLAWN LA / E GUDE DR,39.09679118,-77.13530517,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
p1343,5/4/2012,21:24:00,MCP,"1st district, Rockville",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,NEW HAMPSHIRE AVENUE @ NOTELY RD,39.07360807,-77.00762938,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
p1344,12/13/2015,12:38:00,MCP,"1st district, Rockville",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,N/B 270 AT EXIT 5,39.07794167,-77.168975,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes
p1358,11/20/2015,21:32:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",VEIRS MILL RD @ ATLANTIC AVE,39.066515,-77.12767333,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
p1371,12/2/2015,15:20:00,MCP,"1st district, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,DARNESTOWN RD / TRAVILAH RD,39.094735,-77.19890167,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
p1377,12/1/2016,11:03:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,RIFFLE FORD RD @ SMOKEY GLEN FARM,39.12289167,-77.26860167,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
p1378,8/20/2014,17:26:00,MCP,"1st district, Rockville","DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN, PAVEMENT MARK",DICKERSON RD @ MT. EPHRAIM RD,39.22099833,-77.42454667,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
p1381,3/11/2015,17:06:00,MCP,"1st district, Rockville",WINDOW TINT,DARNESTOWN RD/JERUSALEM RD,39.18111333,-77.41474167,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
p1385,2/16/2013,13:18:00,MCP,"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
p1399,3/11/2014,15:51:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,WB SHADY GROVE METRO EXIT @ 370,39.12805167,-77.16092333,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
p1409,7/22/2013,8:18:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,EB RT370 @ SHADY GROVE METRO,39.127975,-77.16125,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
p1443,6/27/2016,23:15:00,MCP,"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,RT 355 / TEMPLETON PL,39.06583333,-77.12746833,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
p1445,8/3/2014,3:16:00,MCP,"1st district, Rockville",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,GLEN RD/BEDFORDSHIRE AVE,39.11437667,-77.237715,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No
p1452,9/16/2013,16:44:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,RT 28 @ BLACKBERRY DR,39.11614333,-77.247745,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
p1457,2/13/2013,9:00:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,13700 BLOCK ESWORTHY RD,39.08098748,-77.29342453,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
p1459,1/26/2014,4:49:00,MCP,"1st district, Rockville",RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,AVERY RD @ DIMES RD,38.99779,-77.10998667,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
p1461,11/28/2012,10:20:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,AVERY RD/WARM SPRINGS DR,39.11516427,-77.12180502,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
p1472,9/11/2014,18:50:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,W GUDE DRIVE @ GAITHER ROAD,39.10566,-77.170735,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
p1476,6/4/2012,12:40:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,TRAVILAH RD @ DARNESTOWN RD,39.09668425,-77.20472267,Yes,No,No,No,No,No,No,No,No,Yes,Yes
p1488,2/16/2016,15:26:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,REDLAND BLVD / ELMCROFT BLVD,39.114985,-77.16525333,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
p1495,1/26/2014,4:49:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,AVERY RD @ DIMES RD,38.99779,-77.10998667,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No
p1502,3/11/2015,17:06:00,MCP,"1st district, Rockville",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,DARNESTOWN RD/JERUSALEM RD,39.18111333,-77.41474167,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No
p1509,9/1/2014,6:15:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 70 MPH IN A POSTED 55 MPH ZONE,N/B 270 @ GUDE DR,39.104265,-77.181315,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
p1525,11/18/2013,15:50:00,MCP,"1st district, Rockville",CARD,SGR/MEDICIAL DR,39.09595,-77.19529167,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
p1527,12/3/2012,9:20:00,MCP,"1st district, Rockville",OPERATOR NOT RESTRAINED BY SEATBELT,13700 BLOCK ESWORTHY RD,39.08106957,-77.29339327,Yes,No,No,No,No,No,No,No,Yes,Yes,No
p1532,6/5/2013,11:43:00,MCP,"1st district, Rockville",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,RT 28 @ BLACKBERRY DR,39.11628537,-77.2483153,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
p1545,11/1/2012,15:47:00,MCP,"1st district, Rockville",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,UNIVERSITY BLVD W. @ COLESVILLE ROAD,39.02136198,-77.01387665,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No
p1553,5/4/2012,21:24:00,MCP,"1st district, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",NEW HAMPSHIRE AVENUE @ NOTELY RD,39.07360807,-77.00762938,No,No,No,No,Yes,No,Yes,No,Yes,No,No
p1564,7/17/2015,9:25:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,S/B RIVER RD @ LAKE POTOMAC DR,39.03998833,-77.251135,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes
p1567,2/11/2012,23:25:00,MCP,"1st district, Rockville",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,WOOTTON PKWY @ SEVEN LOCKS RD,39.0669639,-77.1619895,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
p1574,5/15/2015,17:45:00,MCP,"1st district, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",S/B 270 AT EXIT 5,39.101395,-77.179585,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
p1586,11/14/2014,6:16:00,MCP,"1st district, Rockville",PASSING IN NO PASSING ZONE,CLARKSBURG RD. AT BARNESVILLE RD,39.18859833,-77.31057,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
p1588,6/17/2014,6:52:00,MCP,"1st district, Rockville",FAILURE TO NOTIFY ADM. OF ADDRESS CHANGE WITHIN 30 DAYS,W. MONTGOMERY / MEDICAL CENTER DR,39.10492667,-77.19659167,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
p1591,12/3/2012,9:20:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,13700 BLOCK ESWORTHY RD,39.08106957,-77.29339327,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
p1597,1/5/2017,16:49:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,SPRING MEADOWS DR @ BRICKHOWE CT,39.09766167,-77.29994333,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
p1599,10/8/2013,20:24:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,28/BIG WOODS RD,39.21291912,-77.4301439,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
p1604,3/28/2013,13:27:00,MCP,"1st district, Rockville",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,N/B I-270 @ MD RT 27,39.21744983,-77.27793835,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
p1607,7/15/2014,0:29:00,MCP,"1st district, Rockville",REAR TURN SIGNALS INOPERATIVE,W/B SHADY GROVE RD AT CRABBS BRANCH WAY,39.12821333,-77.16743667,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
p1611,10/28/2016,14:59:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,DICKERSON RD/MARTINSBURG RD,39.213245,-77.43017667,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No
p1617,2/16/2013,13:18:00,MCP,"1st district, Rockville",VEH. DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
p1622,12/3/2014,17:07:00,MCP,"1st district, Rockville",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,DARNESTOWN RD/JERUSALEM RD,39.175395,-77.405855,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
p1632,6/25/2013,16:20:00,MCP,"1st district, Rockville",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,SENECA RD / DARNESTOWN RD,,,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
p1636,12/6/2012,8:23:00,MCP,"1st district, Rockville",OPERATING MOTOR VEHICLE WITH FLAT TIRE,DARNESTOWN RD @ DUFIEF DR,39.10621025,-77.23269247,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
p1640,3/29/2016,18:17:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 30 MPH ZONE,DARNESTOWN RD @ BEALLSVILLE RD,39.17904667,-77.41230333,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
p1650,4/29/2016,0:40:00,MCP,"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,E GUDE DR / SOUTHLAWN DR,39.10018833,-77.13985667,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
p1651,6/4/2012,8:54:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,RT 28 @ BLACKBERRY DR,39.11609573,-77.24763668,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
p1652,2/2/2012,19:15:00,MCP,"1st district, Rockville",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,CRABBS BRANCH WAY AT REDLAND RD,39.12390942,-77.16235892,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
p1657,5/15/2015,17:45:00,MCP,"1st district, Rockville",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,S/B 270 AT EXIT 5,39.101395,-77.179585,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
p1662,10/7/2015,20:52:00,MCP,"1st district, Rockville","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",DARNESTOWN RD/ GERMANTOWN RD,39.10634667,-77.29772333,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes
p1671,10/5/2014,16:42:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,TWINBROOK PARKWAY / FISHERS LANE,39.062385,-77.11645667,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
p1682,2/16/2013,13:18:00,MCP,"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
p1702,4/15/2013,17:15:00,MCP,"1st district, Rockville",OPERATOR NOT RESTRAINED BY SEATBELT,PICCARD DR/CHOKE CHERRY RD,39.11228667,-77.182335,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
p1707,12/10/2014,16:12:00,MCP,"1st district, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,SHADY GROVE RD @ CORPORATE BLVD,39.10839,-77.188695,Yes,No,No,No,No,No,No,No,Yes,Yes,No
p1729,8/21/2016,21:31:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,DARNESTOWN RD /DUFIEF DR,39.10286667,-77.22402667,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
p1736,12/8/2015,20:22:00,MCP,"1st district, Rockville",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,W GUDE DR AT PICCARD DR,,,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
p1744,10/8/2012,15:39:00,MCP,"1st district, Rockville",OPERATOR FAILURE TO USE SEAT BELT,GERMANTOWN RD @ WISTERIA DR,39.173565,-77.27442427,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
p1747,11/5/2013,10:47:00,MCP,"1st district, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",HUNGERFORD DR @ E. MIDDLE LN,39.08520667,-77.14867167,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes
p1749,12/31/2012,0:35:00,MCP,"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,E. GUDE DRIVE @ SOUTHLAWN LANE,39.1018182,-77.14144795,No,No,No,No,No,Yes,Yes,No,No,Yes,No
p1754,7/16/2014,8:20:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 47 MPH IN A POSTED 30 MPH ZONE,13801 ESWORTHY ROAD,39.08115,-77.29349,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
p1773,9/18/2015,7:53:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,15000 BLOCK SPRING MEADOWS DR,39.10172833,-77.30758,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
p1795,8/21/2012,9:01:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,S/B SEVEN LOCKS RD/CADBURY AVE,39.0578564,-77.16162023,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
p1798,6/9/2016,19:57:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,DARNESTOWN RD/JERUSALEM RD,39.17867167,-77.41135833,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes
p1799,2/16/2013,13:18:00,MCP,"1st district, Rockville",FAILURE TO STOP WHEN ENTERING HIGHWAY,MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No
p1830,11/2/2015,13:00:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,E/B AVERY RD @ WARM SPRINGS DR,39.11523167,-77.12160333,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No
p1831,4/8/2013,11:17:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,AVERY RD/WARM SPRINGS DR,39.11533167,-77.121725,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes
